dimension,type,pval_res,pval_bonf,significant_005,significant_bonf
doc_correctness_value,wrong_false_all_10,0.005797721543440739,0.0125,yes,yes
doc_correctness_value,wrong_true_all_10,2.3555749625627892e-05,0.0125,yes,yes
doc_neutrality_value,correct_false_all_10,0.0014240869891404197,0.0125,yes,yes
doc_neutrality_value,correct_true_all_10,0.2350838903611403,0.0125,no,no
doc_neutrality_value,wrong_false_all_10,0.13522707705355633,0.0125,no,no
doc_neutrality_value,wrong_true_all_10,0.2290603866200792,0.0125,no,no
doc_comprehensibility_value,correct_false_all_10,0.7819702818686247,0.0125,no,no
doc_comprehensibility_value,correct_true_all_10,0.23372294815808692,0.0125,no,no
doc_comprehensibility_value,wrong_false_all_10,0.3666631074235802,0.0125,no,no
doc_comprehensibility_value,wrong_true_all_10,0.13672457995871481,0.0125,no,no
doc_precision_value,correct_false_all_10,0.9656358610969477,0.0125,no,no
doc_precision_value,correct_true_all_10,0.12993407575267815,0.0125,no,no
doc_precision_value,wrong_false_all_10,0.41821068969717323,0.0125,no,no
doc_precision_value,wrong_true_all_10,0.19644313073216624,0.0125,no,no
doc_completeness_value,correct_false_all_10,0.7365725840735329,0.0125,no,no
doc_completeness_value,correct_true_all_10,0.3815131546512984,0.0125,no,no
doc_completeness_value,wrong_false_all_10,0.3722537089569564,0.0125,no,no
doc_completeness_value,wrong_true_all_10,0.10141321663142908,0.0125,no,no
doc_speaker's-trustworthiness_value,correct_false_all_10,0.00635982583112186,0.0125,yes,yes
doc_speaker's-trustworthiness_value,correct_true_all_10,0.14397820777264972,0.0125,no,no
doc_speaker's-trustworthiness_value,wrong_false_all_10,0.006732941709087822,0.0125,yes,yes
doc_speaker's-trustworthiness_value,wrong_true_all_10,0.038493438701226124,0.0125,yes,no
doc_informativeness_value,correct_false_all_10,0.23792272888115748,0.0125,no,no
doc_informativeness_value,correct_true_all_10,0.036511841719719745,0.0125,yes,no
doc_informativeness_value,wrong_false_all_10,0.061435341760234956,0.0125,no,no
doc_informativeness_value,wrong_true_all_10,0.10748958786590755,0.0125,no,no
doc_accesses,correct_false_all_10,0.9460835160408742,0.0125,no,no
doc_accesses,correct_true_all_10,0.7777926268587885,0.0125,no,no
doc_accesses,wrong_false_all_10,0.4216983610030811,0.0125,no,no
doc_accesses,wrong_true_all_10,0.6583872443906289,0.0125,no,no
doc_overall-truthfulness_url,correct_false_all_10,0.47255522259262356,0.0125,no,no
doc_overall-truthfulness_url,correct_true_all_10,0.38419667551470854,0.0125,no,no
doc_overall-truthfulness_url,wrong_false_all_10,0.30753236953342244,0.0125,no,no
doc_overall-truthfulness_url,wrong_true_all_10,0.21304505291779996,0.0125,no,no
query_amount,correct_false_all_10,0.4968620261942258,0.0125,no,no
query_amount,correct_true_all_10,0.5016454902944183,0.0125,no,no
query_amount,wrong_false_all_10,0.8975994810230806,0.0125,no,no
query_amount,wrong_true_all_10,0.033145880959734426,0.0125,yes,no
response_position,correct_false_all_10,0.9255109316482294,0.0125,no,no
response_position,correct_true_all_10,0.6411087925696595,0.0125,no,no
response_position,wrong_false_all_10,0.6307855635602257,0.0125,no,no
response_position,wrong_true_all_10,0.6376730919705791,0.0125,no,no
selected_amount,correct_false_all_10,0.9553917038327033,0.0125,no,no
selected_amount,correct_true_all_10,0.9639692359696705,0.0125,no,no
selected_amount,wrong_false_all_10,0.8992672226063895,0.0125,no,no
selected_amount,wrong_true_all_10,0.9221827722580024,0.0125,no,no
