file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,fre,doc_time_elapsed,doc_name,doc_claimant
political_1,correct_true_politifact_5,Health insurance premiums have almost doubledsince 2000,1.0,26-35 (1.40),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (0.90),No opinion either way (1.10),Agree (1.50),correct value (0.70),wrong value (0.20),wrong value (0.40),3.3,2007.0,1.1,0.3,0.8,0.5,1.3,0.9,0.6,0.3,1.0,1.0,38.99,91.17,DEM_TRUE_doc3,Hillary Clinton
political_1,correct_true_politifact_5,The War in Afghanistan is officially the longest war Americans have ever been asked to endure,1.0,26-35 (0.90),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.90)",Moderate (2.10),Democrat (1.00),No opinion either way (1.20),Agree (1.70),wrong value (0.50),wrong value (0.30),wrong value (0.30),5.1,2010.0,1.1,0.7,0.5,0.9,1.1,0.6,0.9,0.8,0.6,1.1,63.7,75.608,DEM_TRUE_doc9,Dennis Kucinich
political_1,correct_true_politifact_5,In Cuyahoga County56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population,1.1,26-35 (0.80),4 year college/bachelor degree (2.10),"50,000 to less than 75,000 (5.10)",Liberal (2.90),Democrat (1.30),Disagree (0.40),Agree (2.00),correct value (0.60),wrong value (0.30),wrong value (0.40),3.7,2012.0,1.6,0.1,1.2,1.4,1.5,1.5,0.7,1.0,1.4,1.0,39.67,102.709,DEM_TRUE_doc7,Marcia Fudge
political_2,correct_true_politifact_5,Two years after the worst recession most of us have ever known ... corporate profits are up.,1.15,36-50 (1.60),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.55)",Moderate (2.40),Democrat (1.10),No opinion either way (1.05),Agree (1.95),wrong value (0.40),wrong value (0.40),wrong value (0.35),5.05,2011.0,0.9,0.45,0.8,0.3,0.85,0.8,0.3,0.45,0.7,1.0,63.7,96.583,DEM_TRUE_doc6,Barack Obama
political_2,correct_true_politifact_5,Collectively states are spending more on Medicaid than they do on K-12 education.,1.52,36-50 (1.76),"Postgrad. or professional schooling, no degree (2.72)","50,000 to less than 75,000 (4.72)",Moderate (1.72),Democrat (0.80),No opinion either way (1.36),Agree (1.60),wrong value (0.44),wrong value (0.24),wrong value (0.36),5.36,2013.0,1.04,0.64,0.96,0.64,0.88,0.8,0.64,0.6,0.64,1.4,49.82,99.5628,REP_TRUE_doc3,Eric Cantor
political_2,correct_true_politifact_5,Says hes proposed the largest employer contribution to the Virginia Retirement System in history.,1.2307692307692308,36-50 (1.62),4 year college/bachelor degree (2.23),"50,000 to less than 75,000 (4.69)",Moderate (1.85),Democrat (0.85),Agree (1.62),Agree (1.77),wrong value (0.38),wrong value (0.38),correct value (0.54),6.769230769230769,2012.0,1.1538461538461535,0.4615384615384615,0.6153846153846154,0.4615384615384615,0.5384615384615384,0.8461538461538461,1.1538461538461535,0.8461538461538461,1.0,1.1538461538461535,31.89,91.17384615384616,REP_TRUE_doc4,Bob Mcdonnell
