file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,fre,doc_time_elapsed,doc_name,doc_claimant
political_1,correct_true_politifact_5,According to Wikipedia there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth,1.0,36-50 (1.50),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.80),Agree (1.90),wrong value (0.40),wrong value (0.20),wrong value (0.30),5.6,2011.0,1.1,0.7,1.1,0.8,1.0,1.0,0.7,0.7,1.3,1.0,62.010000000000005,86.758,DEM_TRUE_doc1,Alan Grayson
political_1,correct_true_politifact_5,The first professional baseball team was from an Ohio city,1.0,26-35 (1.40),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.10),Democrat (0.90),No opinion either way (1.20),Agree (1.80),wrong value (0.40),wrong value (0.30),wrong value (0.20),5.2,2010.0,1.1,0.6,0.9,0.9,1.4,1.3,0.6,1.0,1.2,1.0,78.25,78.606,DEM_TRUE_doc4,Yvette Mcgee Brown
political_2,correct_true_politifact_5,The first professional baseball team was from an Ohio city.,1.3333333333333333,26-35 (1.42),4 year college/bachelor degree (2.17),"50,000 to less than 75,000 (4.67)",Moderate (1.83),Democrat (1.08),Agree (1.58),Agree (1.83),wrong value (0.33),wrong value (0.25),wrong value (0.17),5.0,2010.0,0.9166666666666666,0.6666666666666666,1.25,1.0833333333333333,1.0,0.9166666666666666,1.25,1.0,1.0,1.25,78.25,147.25916666666666,DEM_TRUE_doc4,Yvette Mcgee Brown
political_2,correct_true_politifact_5,"According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.",1.25,26-35 (1.20),"Postgrad. or professional schooling, no degree (2.55)","40,000 to less than 50,000 (4.30)",Moderate (2.15),Democrat (0.85),No opinion either way (1.20),Agree (1.90),correct value (0.55),wrong value (0.30),wrong value (0.25),5.15,2011.0,0.95,0.85,0.75,0.65,0.8,0.75,0.75,0.55,1.0,1.3,62.010000000000005,149.9315,DEM_TRUE_doc1,Alan Grayson
