doc_name,statement,data,claimant,fre
pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,31/03/2020,Bloggers,19.03
pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,25/03/2020,Facebook Post,11.58
pants-on-fire_doc9,the US is developing anantivirusï½ that includes a chip to track your movement,16/03/2020,Facebook User,66.74
false_doc1,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereï½,28/03/2020,Facebook Post,70.13
false_doc3,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,23/03/2020,Facebook Post,72.5
false_doc5,Drinkingwater a lot and gargling with warm watersalt or vinegar eliminatesï½ the coronavirus,13/03/2020,Viral Image,41.36
half-true_doc4,Weve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,23/03/2020,Brian Fitzpatrick,44.75
half-true_doc9,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,7/4/2020,Facebook Post,52.19
true_doc4,Says most NC legislators are in the high risk age group for coronavirus,14/03/2020,Kelly Alexander,75.2
