type,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses
correct_false_all,1.0,26-35 (1.24),4 year college/bachelor degree (1.98),"40,000 to less than 50,000 (3.97)",Liberal (2.76),Democrat (1.19),Disagree (0.41),Agree (1.76),correct value (0.70),wrong value (0.41),wrong value (0.47),5.141826923076923,2012.2091346153845,0.08173076923076923,-0.34615384615384615,0.07932692307692307,-0.21153846153846154,0.8701923076923077,0.37740384615384615,0.0,-0.016826923076923076,0.07211538461538461,1.0384615384615385
correct_true_all,1.036734693877551,26-35 (1.23),4 year college/bachelor degree (2.16),"50,000 to less than 75,000 (4.51)",Moderate (2.30),Democrat (0.96),No opinion either way (0.75),Agree (1.85),wrong value (0.47),wrong value (0.33),wrong value (0.40),5.145578231292517,2012.2176870748299,0.6938775510204082,-0.029931972789115645,0.5210884353741496,0.2639455782312925,1.0625850340136054,0.745578231292517,0.46530612244897956,0.4435374149659864,0.6748299319727891,1.0585034013605443
wrong_false_all,1.054,26-35 (1.09),4 year college/bachelor degree (2.02),"40,000 to less than 50,000 (3.91)",Moderate (2.11),Democrat (0.80),No opinion either way (1.03),Agree (1.82),wrong value (0.39),wrong value (0.22),wrong value (0.41),5.176,2012.258,0.888,0.16,0.636,0.45,1.018,0.796,0.666,0.632,0.792,1.078
wrong_true_all,1.0,26-35 (0.95),4 year college/bachelor degree (1.77),"40,000 to less than 50,000 (3.89)",Moderate (2.22),Democrat (0.88),No opinion either way (1.07),Agree (1.59),correct value (0.59),wrong value (0.24),wrong value (0.36),4.934210526315789,2012.3355263157894,-0.013157894736842105,-0.506578947368421,-0.019736842105263157,-0.13815789473684212,0.5460526315789473,0.3815789473684211,-0.02631578947368421,0.019736842105263157,0.21710526315789475,1.019736842105263
