type,doc_name,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses
correct_false_all,HIGH,1.0,26-35 (1.23),4 year college/bachelor degree (1.96),"40,000 to less than 50,000 (3.96)",Liberal (2.77),Democrat (1.19),Disagree (0.40),Agree (1.77),correct value (0.70),wrong value (0.40),wrong value (0.47),4.085106382978723,2008.0,1.5319148936170213,1.0425531914893618,1.4042553191489362,0.3404255319148936,1.148936170212766,0.0425531914893617,0.10638297872340426,1.4042553191489362,-0.02127659574468085,1.0
correct_false_all,LOW,1.0,26-35 (1.23),4 year college/bachelor degree (1.96),"40,000 to less than 50,000 (3.96)",Liberal (2.77),Democrat (1.19),Disagree (0.40),Agree (1.77),correct value (0.70),wrong value (0.40),wrong value (0.47),4.468085106382978,2006.0,-1.7872340425531914,0.3191489361702128,-1.6382978723404256,-0.6808510638297872,-0.02127659574468085,-0.19148936170212766,-0.5531914893617021,-0.5531914893617021,-1.3404255319148937,1.0638297872340425
correct_true_all,HIGH,1.0365853658536586,26-35 (1.23),4 year college/bachelor degree (2.15),"50,000 to less than 75,000 (4.51)",Moderate (2.30),Democrat (0.96),No opinion either way (0.74),Agree (1.85),wrong value (0.46),wrong value (0.33),wrong value (0.40),4.329268292682927,2008.0,1.670731707317073,0.9634146341463414,1.2317073170731707,0.6463414634146342,1.2804878048780488,0.573170731707317,0.5121951219512195,1.3902439024390243,0.4268292682926829,1.0365853658536586
correct_true_all,LOW,1.0365853658536586,26-35 (1.23),4 year college/bachelor degree (2.15),"50,000 to less than 75,000 (4.51)",Moderate (2.30),Democrat (0.96),No opinion either way (0.74),Agree (1.85),wrong value (0.46),wrong value (0.33),wrong value (0.40),4.304878048780488,2006.0,-1.2073170731707317,0.21951219512195122,-1.1219512195121952,-0.14634146341463414,0.24390243902439024,-0.024390243902439025,-0.3170731707317073,-0.0975609756097561,-0.7073170731707317,1.048780487804878
wrong_false_all,HIGH,1.0535714285714286,26-35 (1.09),4 year college/bachelor degree (2.02),"40,000 to less than 50,000 (3.91)",Moderate (2.12),Democrat (0.80),No opinion either way (1.02),Agree (1.82),wrong value (0.39),wrong value (0.21),wrong value (0.41),4.089285714285714,2008.0,1.9107142857142858,1.2142857142857142,1.4464285714285714,0.8928571428571429,1.3571428571428572,0.9464285714285714,0.75,1.2321428571428572,0.7321428571428571,1.0535714285714286
wrong_false_all,LOW,1.0535714285714286,26-35 (1.09),4 year college/bachelor degree (2.02),"40,000 to less than 50,000 (3.91)",Moderate (2.12),Democrat (0.80),No opinion either way (1.02),Agree (1.82),wrong value (0.39),wrong value (0.21),wrong value (0.41),4.375,2006.0,-0.9285714285714286,0.125,-0.7142857142857143,0.0,0.5357142857142857,0.30357142857142855,-0.03571428571428571,0.05357142857142857,-0.39285714285714285,1.0714285714285714
wrong_true_all,HIGH,1.0,26-35 (0.94),4 year college/bachelor degree (1.76),"40,000 to less than 50,000 (3.88)",Moderate (2.24),Democrat (0.88),No opinion either way (1.06),Agree (1.59),correct value (0.59),wrong value (0.24),wrong value (0.35),5.588235294117647,2008.0,1.7647058823529411,1.1764705882352942,1.2941176470588236,0.23529411764705882,0.8823529411764706,-0.058823529411764705,0.23529411764705882,1.1176470588235294,0.11764705882352941,1.0
wrong_true_all,LOW,1.0,26-35 (0.94),4 year college/bachelor degree (1.76),"40,000 to less than 50,000 (3.88)",Moderate (2.24),Democrat (0.88),No opinion either way (1.06),Agree (1.59),correct value (0.59),wrong value (0.24),wrong value (0.35),5.117647058823529,2006.0,-1.6470588235294117,-0.7647058823529411,-1.1176470588235294,-0.5882352941176471,-0.17647058823529413,-0.4117647058823529,-1.0,-1.1764705882352942,-1.1764705882352942,1.0588235294117647
