file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,fre,doc_time_elapsed,doc_name,doc_claimant
political_1,correct_false_politifact_5,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,1.0,36-50 (1.50),"Postgrad. or professional schooling, no degree (2.70)","50,000 to less than 75,000 (4.70)",Liberal (2.80),Democrat (1.00),No opinion either way (0.70),Agree (1.80),correct value (0.60),correct value (0.70),correct value (0.90),4.0,2012.0,-0.8,0.0,-0.8,-1.0,1.4,0.4,0.1,-0.8,-0.1,1.0,46.1,146.641,DEM_LIE_doc10,Graeme Zielinski
political_1,correct_false_politifact_5,Scott Walkers income tax plan is a tax hike It increases taxes for nearly 80 of the people in the state,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.90),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),4.3,2014.0,-0.1,0.4,-0.1,-0.6,1.0,1.0,0.3,-0.3,0.5,1.0,75.54,122.464,DEM_LIE_doc2,Mary Burke
political_2,correct_false_politifact_5,Scott Walkers income tax plan is a tax hike. It increases taxes for nearly 80% of the people in the state.,1.3125,36-50 (1.75),4 year college/bachelor degree (2.12),"40,000 to less than 50,000 (4.12)",Moderate (2.00),Democrat (0.88),Agree (1.62),Agree (1.88),correct value (0.62),wrong value (0.25),wrong value (0.44),4.1875,2014.0,-0.4375,-0.0625,-0.4375,-0.75,-0.375,-0.25,-0.25,-0.125,-0.125,1.125,86.2,118.283125,DEM_LIE_doc2,Mary Burke
political_2,correct_false_politifact_5,Says the Wisconsin Republican Party tweeted Happy International Womens Day! You ladies should get paid less and not be able to make health care decisions.,1.2307692307692308,36-50 (1.62),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.54)",Moderate (1.62),Democrat (0.62),No opinion either way (1.31),Agree (1.54),wrong value (0.23),wrong value (0.00),wrong value (0.31),3.923076923076923,2012.0,-0.3076923076923077,-0.0769230769230769,0.1538461538461538,0.2307692307692307,0.1538461538461538,0.0769230769230769,0.0,-0.1538461538461538,0.1538461538461538,1.5384615384615383,58.79,73.97615384615384,DEM_LIE_doc10,Graeme Zielinski
