file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,fre,doc_time_elapsed,doc_name,doc_claimant
political_1,correct_false_politifact_5,Says Barack Obama sold Chrysler to Italians who are going to build Jeeps in China at the cost of American jobs,1.0,36-50 (1.60),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),No opinion either way (0.70),No opinion either way (1.20),wrong value (0.50),correct value (0.60),correct value (0.60),4.0,2012.0,-0.8,-0.7,-0.8,-1.1,1.1,1.3,-0.6,-0.2,0.4,1.0,75.54,141.754,REP_LIE_doc5,Mitt Romney
political_1,correct_false_politifact_5,Virginia papers called Scott Rigells campaign Mostly False,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.30)",Moderate (2.40),Democrat (1.10),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.10),wrong value (0.30),5.4,2012.0,-0.4,0.1,0.0,0.0,0.1,0.3,-0.1,0.3,0.3,1.0,71.82,105.366,DEM_LIE_doc5,Paul Hirschbiel
political_1,correct_false_politifact_5,The National Science Foundation spent 12 million paying seniors to play World of Warcraft to study the impact it had on their brain,1.0,26-35 (0.90),4 year college/bachelor degree (1.60),"30,000 to less than 40,000 (3.40)",Moderate (2.50),Democrat (1.40),No opinion either way (0.60),Agree (1.90),wrong value (0.50),wrong value (0.10),wrong value (0.40),4.5,2013.0,-0.1,0.3,-0.2,0.5,1.1,0.7,0.6,-0.4,0.6,1.2,65.05,110.951,REP_LIE_doc7,Eric Cantor
political_2,correct_false_politifact_5,"When Josh Mandel claims to have accepted three debates with Sen. Sherrod Brown, he is lying. He has accepted ZERO proposed debates.",1.25,36-50 (1.94),4 year college/bachelor degree (1.94),"40,000 to less than 50,000 (3.88)",Moderate (1.62),Democrat (0.94),No opinion either way (1.31),Agree (1.81),wrong value (0.50),wrong value (0.50),wrong value (0.50),4.375,2012.0,-0.4375,-0.1875,-0.0625,-0.375,0.5,0.1875,0.0,-0.1875,-0.125,1.0,72.53,136.9192857142857,DEM_LIE_doc7,Sherrod Brown
political_2,correct_false_politifact_5,"Says Mitt Romney backed a bill that outlaws all abortions, even in cases of rape and incest.",1.5,36-50 (1.50),4 year college/bachelor degree (2.07),"40,000 to less than 50,000 (3.86)",Conservative (1.00),Democrat (0.93),No opinion either way (1.43),Agree (1.57),wrong value (0.07),wrong value (0.21),wrong value (0.43),3.857142857142857,2012.0,-0.0714285714285714,0.7142857142857143,0.3571428571428571,0.0,0.9285714285714286,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.5714285714285714,1.2142857142857142,79.6,101.11642857142856,DEM_LIE_doc6,Barack Obama
political_2,correct_false_politifact_5,Ninety-four percent of small businesses will face HIGHer taxes under the Democrats plan.,1.4666666666666666,26-35 (1.07),4 year college/bachelor degree (2.27),"50,000 to less than 75,000 (5.00)",Moderate (2.47),Democrat (1.00),No opinion either way (1.07),Agree (2.00),correct value (0.53),wrong value (0.20),correct value (0.53),5.2,2010.0,0.0,-0.2,-0.2,0.0,0.0666666666666666,0.0666666666666666,0.0,-0.2,-0.0666666666666666,1.2666666666666666,58.28,310.8573333333334,REP_LIE_doc9,Randy Neugebauer
