file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,fre,doc_time_elapsed,doc_name,doc_claimant
political_1,wrong_true_politifact_5,98 percent of small businesses make less than 250000 and would not see a tax increase under Barack Obamas plan,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.30)",Moderate (2.40),Democrat (1.10),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.10),wrong value (0.30),5.9,2008.0,0.3,0.2,0.0,0.4,0.7,0.6,0.1,0.5,0.4,1.1,76.56,100.759,DEM_TRUE_doc5,Barack Obama
political_1,wrong_true_politifact_5,Says Rep Jim Weidner proposed a bill taking away health care for 80000 of Oregons children,1.0,36-50 (1.50),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (4.70)",Moderate (2.00),Democrat (0.70),No opinion either way (0.90),Agree (1.80),correct value (0.70),wrong value (0.30),wrong value (0.30),4.9,2010.0,0.3,-0.4,0.0,-0.5,0.6,0.2,-0.5,-0.5,0.2,1.0,72.16,178.947,DEM_TRUE_doc10,Blue Oregon
political_2,wrong_true_politifact_5,"Huckabee ""granted 1,033 pardons and commutations . . . more clemencies than the previous three governors combined.""",1.5,36-50 (1.50),4 year college/bachelor degree (2.07),"40,000 to less than 50,000 (3.86)",Conservative (1.00),Democrat (0.93),No opinion either way (1.43),Agree (1.57),wrong value (0.07),wrong value (0.21),wrong value (0.43),3.4285714285714284,2007.0,0.0714285714285714,0.4285714285714285,0.3571428571428571,0.1428571428571428,0.0714285714285714,0.2857142857142857,0.2142857142857142,-0.2142857142857142,0.1428571428571428,1.1428571428571428,14.97,112.14769230769232,REP_TRUE_doc6,Mitt Romney
political_2,wrong_true_politifact_5,"Says this months special session will cost the state $27,300 a day just for legislators daily living expenses.",1.2307692307692308,36-50 (1.62),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.54)",Moderate (1.62),Democrat (0.62),No opinion either way (1.31),Agree (1.54),wrong value (0.23),wrong value (0.00),wrong value (0.31),4.076923076923077,2011.0,0.2307692307692307,0.3076923076923077,0.3076923076923077,0.4615384615384615,0.3846153846153846,0.5384615384615384,0.3076923076923077,0.0769230769230769,0.2307692307692307,1.0,61.67,70.80499999999999,REP_TRUE_doc10,Jason Isaac
