type,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,fre,doc_time_elapsed,query_amount,response_position,selected_amount,sim_statem_query,sim_statem_resname,sim_statem_ressnip
correct_false_all_10,1.0,26-35 (1.15),4 year college/bachelor degree (2.14),"40,000 to less than 50,000 (4.37)",Moderate (2.32),Democrat (1.04),No opinion either way (0.77),Agree (1.66),correct value (0.52),wrong value (0.35),wrong value (0.48),5.141863699582754,2012.1418636995827,0.29902642559109877,-0.20584144645340752,0.27399165507649514,0.015299026425591099,0.9012517385257302,0.6022253129346314,0.22253129346314326,0.2336578581363004,0.41168289290681503,1.0292072322670376,57.40662030598053,120.97788595271211,1.435211267605634,2.8295774647887324,1.2253521126760563,0.5887637321013003,0.24033534540576793,0.3798210876293546
correct_true_all_10,1.011111111111111,26-35 (1.21),4 year college/bachelor degree (2.16),"50,000 to less than 75,000 (4.76)",Moderate (2.10),Democrat (0.90),No opinion either way (1.06),Agree (1.76),wrong value (0.50),wrong value (0.29),wrong value (0.41),5.212345679012346,2012.2469135802469,0.5691358024691358,0.006172839506172839,0.43209876543209874,0.26296296296296295,0.9111111111111111,0.6506172839506172,0.4012345679012346,0.36790123456790125,0.5938271604938271,1.0320987654320988,57.03888888888889,114.23928306551298,1.400749063670412,3.1585518102372037,1.260923845193508,0.5536710540959853,0.25304579592969106,0.3380547023123136
wrong_false_all_10,1.0125,26-35 (1.25),4 year college/bachelor degree (2.15),"40,000 to less than 50,000 (4.50)",Moderate (2.24),Democrat (0.99),No opinion either way (0.90),Agree (1.85),wrong value (0.49),wrong value (0.34),wrong value (0.40),5.2027777777777775,2012.1666666666667,0.5208333333333334,-0.09722222222222222,0.425,0.18055555555555555,0.9333333333333333,0.6166666666666667,0.3111111111111111,0.3375,0.5541666666666667,1.0166666666666666,56.58473611111111,116.02742698191933,1.4541666666666666,3.1319444444444446,1.2625,0.5036083629516825,0.2160405643738977,0.3137727846444088
wrong_true_all_10,1.0,26-35 (1.26),4 year college/bachelor degree (2.06),"40,000 to less than 50,000 (4.27)",Moderate (2.38),Democrat (1.00),No opinion either way (0.83),Agree (1.72),wrong value (0.48),wrong value (0.35),wrong value (0.39),5.195555555555556,2012.1888888888889,0.3511111111111111,-0.20777777777777778,0.2966666666666667,0.06444444444444444,0.8333333333333334,0.5122222222222222,0.16444444444444445,0.2811111111111111,0.47,1.0133333333333334,58.338233333333335,116.88491111111111,1.4033333333333333,3.3033333333333332,1.2855555555555556,0.5474575195503653,0.2424974747474747,0.3228537388586783
